year;winner;gender;country;time;marathon;;
1986;Grete Waitz;Female;Norway;04/05/2018 02:28;NYC;;
1985;Orlando Pizzolato;Male;Italy;04/05/2018 02:11;NYC;;
1985;Grete Waitz;Female;Norway;04/05/2018 02:28;NYC;;
1984;Orlando Pizzolato;Male;Italy;04/05/2018 02:14;NYC;;
1984;Grete Waitz;Female;Norway;04/05/2018 02:29;NYC;;
1983;Rod Dixon;Male;New Zealand;04/05/2018 02:08;NYC;;
1983;Grete Waitz;Female;Norway;04/05/2018 02:27;NYC;;
1982;Alberto Salazar;Male;United States;04/05/2018 02:09;NYC;;
1982;Grete Waitz;Female;Norway;04/05/2018 02:27;NYC;;
1981;Alberto Salazar;Male;United States;04/05/2018 02:08;NYC;;
1981;Allison Roe;Female;New Zealand;04/05/2018 02:25;NYC;;
1980;Alberto Salazar;Male;United States;04/05/2018 02:09;NYC;;
1980;Grete Waitz;Female;Norway;04/05/2018 02:25;NYC;;
1979;Bill Rodgers;Male;United States;04/05/2018 02:11;NYC;;
1979;Grete Waitz;Female;Norway;04/05/2018 02:27;NYC;;
1978;Bill Rodgers;Male;United States;04/05/2018 02:12;NYC;;
1978;Grete Waitz;Female;Norway;04/05/2018 02:32;NYC;;
1977;Bill Rodgers;Male;United States;04/05/2018 02:11;NYC;;
1977;Miki Gorman;Female;United States;04/05/2018 02:43;NYC;;
1976;Bill Rodgers;Male;United States;04/05/2018 02:10;NYC;;
